,path,query,alt,src
17,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers1.jpeg,two fingers,"Hand With Two Fingers Victory Peace And Love Sign Vector Illustration  Design Royalty Free SVG, Cliparts, Vectors, and Stock Illustration. Image  93453506.",https://previews.123rf.com/images/yupiramos/yupiramos1801/yupiramos180107818/93453506-hand-with-two-fingers-victory-peace-and-love-sign-vector-illustration-design.jpg
18,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist3.jpeg,fist,"Fist Images – Browse 551,261 Stock Photos, Vectors, and Video | Adobe Stock",https://t4.ftcdn.net/jpg/02/84/08/69/360_F_284086907_taiUJZGHNFnJo0WyQRUZcW3bhKx8nsfX.jpg
19,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout4.jpeg,palms out,Two Hands Open Palms Image & Photo (Free Trial) | Bigstock,https://static1.bigstockphoto.com/4/0/4/large1500/404710916.jpg
20,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers2.jpeg,two fingers,Hand with two fingers up Royalty Free Vector Image,https://cdn5.vectorstock.com/i/1000x1000/20/99/hand-with-two-fingers-up-vector-21162099.jpg
21,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist4.jpeg,fist,"A clenched fist. Against a white background for easy extraction , #AFF,  #white, #fist, #clenched, #extr… | Hand reference, Hand drawing reference,  How to draw hands",https://i.pinimg.com/736x/99/48/11/99481165b3db03fc18e134803ad281bb.jpg
22,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers9.jpeg,four fingers,Four Fingers Stock Vector by ©AvelKrieg 35885973,https://st.depositphotos.com/2222964/3588/v/950/depositphotos_35885973-stock-illustration-four-fingers.jpg
23,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout5.jpeg,palms out,"Two hands with palms up, isolated on black background | Stock image |  Colourbox",https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX3659381.jpg
24,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers3.jpeg,two fingers,"2 Fingers Images – Browse 330,870 Stock Photos, Vectors, and Video | Adobe  Stock",https://t4.ftcdn.net/jpg/01/38/28/19/360_F_138281987_ycmBtfTo9Ie4Ew23ON8fXJql879YQhjF.jpg
25,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist5.jpeg,fist,"613,200 Fist Images, Stock Photos, 3D objects, & Vectors | Shutterstock",https://www.shutterstock.com/image-photo/holding-fists-air-isolated-on-600w-2237604181.jpg
26,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers4.jpeg,two fingers,"Peace Sign Stock Illustration - Download Image Now - Two Fingers, Vector,  2015 - iStock",https://media.istockphoto.com/id/469390342/vector/peace-sign.jpg?s=612x612&w=0&k=20&c=EFkcpL6iTsfVqlCl6k3EqxZP3McZW27W3rhBLFyqWpI=
27,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist6.jpeg,fist,"Raised Fist Vector Icon Human Hand Up In The Air Stock Illustration -  Download Image Now - Fist, Raised Fist, Vector - iStock",https://media.istockphoto.com/id/1299236204/vector/raised-fist-vector-icon-human-hand-up-in-the-air.jpg?s=612x612&w=0&k=20&c=Dl8NBM__8onc7N0xcmRExMFGYjfyfLDFQ1sLfL2Hrs4=
28,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout6.jpeg,palms out,Palms up Cut Out Stock Images & Pictures - Alamy,https://c8.alamy.com/comp/BT2KPR/empty-palms-up-isolated-on-a-white-background-BT2KPR.jpg
29,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout7.jpeg,palms out,The Palms Up Way of Life - Becoming Minimalist,https://www.becomingminimalist.com/wp-content/uploads/2010/04/man-with-outstretched-palms.jpg
30,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist7.png,fist,How you clench your fist reveals a lot about your personality - Times of  India,"https://static.toiimg.com/thumb/imgsize-23456,msid-94098534,width-600,resizemode-4/94098534.jpg"
31,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist8.png,fist,Fist Svg Fist Drawing Raised Fist Silhouette - Etsy,https://i.etsystatic.com/17123942/r/il/9cfab0/1516578778/il_340x270.1516578778_ak1o.jpg
32,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout8.jpeg,palms out,"Open Hand With Palm Up Isolated On White Background Stock Photo, Picture  and Royalty Free Image. Image 91278059.",https://previews.123rf.com/images/paulphoto/paulphoto1712/paulphoto171200002/91278059-open-hand-with-palm-up-isolated-on-white-background.jpg
33,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers5.jpeg,two fingers,Two Fingers Transparent Images - Free Download on Freepik,https://img.freepik.com/free-photo/counting-fingers-five-inner-palm_628469-493.jpg?size=626&ext=jpg&ga=GA1.1.386372595.1698192000&semt=ais
34,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup0.jpeg,thumbs up,Thumb signal - Wikipedia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Beijing_bouddhist_monk_2009_IMG_1486.JPG/1200px-Beijing_bouddhist_monk_2009_IMG_1486.JPG
35,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout9.jpeg,palms out,Hands palms up Cut Out Stock Images & Pictures - Alamy,https://c8.alamy.com/comp/CWEWDB/hands-palms-isolated-against-white-CWEWDB.jpg
36,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup1.jpeg,thumbs up,"Thumbs Up Emoji Images – Browse 12,475 Stock Photos, Vectors, and Video |  Adobe Stock",https://t4.ftcdn.net/jpg/04/89/39/47/360_F_489394725_Oox6jg48u2K0FSk4RlPCzqkU7Qvu2BSu.jpg
37,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers6.png,two fingers,Two fingers - Free hands and gestures icons,https://cdn-icons-png.flaticon.com/512/3179/3179291.png
38,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup2.jpeg,thumbs up,"Thumbs Up Emoji Images – Browse 12,475 Stock Photos, Vectors, and Video |  Adobe Stock",https://t4.ftcdn.net/jpg/01/15/20/75/360_F_115207580_US2etunH78I7iMYHOoNVvxQTCIdoPdRj.jpg
39,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers7.jpeg,two fingers,Hand with two fingers up Royalty Free Vector Image,https://cdn5.vectorstock.com/i/1000x1000/60/24/hand-with-two-fingers-up-vector-20796024.jpg
40,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers8.jpeg,two fingers,"Vintage Pop Art Two Fingers Up Gesture. Stock Vector - Illustration of  knuckle, aggression: 37021341",https://thumbs.dreamstime.com/z/vintage-pop-art-two-fingers-up-gesture-great-illustration-comic-book-style-gesturing-negative-dissatisfaction-37021341.jpg
41,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup3.png,thumbs up,"thumbs up"" Emoji - Download for free – Iconduck",https://static-00.iconduck.com/assets.00/thumbs-up-emoji-953x1024-0clp4937.png
42,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup4.jpeg,thumbs up,"Double Thumbs Up Emoticon Stock Illustration - Download Image Now -  Emoticon, Thumbs Up, Anthropomorphic Smiley Face - iStock",https://media.istockphoto.com/id/1383831579/vector/double-thumbs-up-emoticon.jpg?s=612x612&w=0&k=20&c=gk_PkPyFLeQCB69U8vhxmzlyikncetntRGfRghJTEiM=
43,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist9.jpeg,fist,Personality quiz: Here's what your FIST formation says about you | The  Times of India,https://static.toiimg.com/thumb/88504951.cms?width=400&height=300&resizemode=4&imgsize=8830
44,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup5.png,thumbs up,Thumbs Up Emoji (U+1F44D),https://s3.amazonaws.com/pix.iemoji.com/images/emoji/apple/ios-12/256/thumbs-up.png
45,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers9.jpeg,two fingers,Hand Two Fingers Peace Victory Symbol Stock Photo 123964534 | Shutterstock,https://www.shutterstock.com/shutterstock/photos/123964534/display_1500/stock-photo-hand-with-two-fingers-up-in-the-peace-or-victory-symbol-also-the-sign-for-the-letter-v-in-sign-123964534.jpg
46,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup6.png,thumbs up,"Download Thumbs Up, Emoji, Smiley. Royalty-Free Vector Graphic - Pixabay",https://cdn.pixabay.com/photo/2022/12/11/04/11/thumbs-up-7648171_1280.png
47,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup7.jpeg,thumbs up,"Amazon.com: Thumbs up smiling emoji Emoticon Car DECAL window TRUCK BOAT  LAPTOP CUP STICKER (Size: 48"") : Everything Else","https://m.media-amazon.com/images/I/41PzW6gu3tL._UF1000,1000_QL80_.jpg"
48,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup8.png,thumbs up,Thumbs Up Emoji - what it means and how to use it.,https://1000logos.net/wp-content/uploads/2023/05/thumbs-up.png
49,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup9.jpeg,thumbs up,Canada court: thumbs up emoji is legally binding | Popular Science,https://www.popsci.com/uploads/2023/07/10/thumbs-up-man-suit.jpeg?auto=webp&width=1440&height=810
50,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake0.jpeg,handshake,"3,172 Hand Shake Clip Art Images, Stock Photos, 3D objects, & Vectors |  Shutterstock",https://www.shutterstock.com/image-vector/business-handshake-contract-agreement-flat-600w-405401863.jpg
51,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake1.jpeg,handshake,Making your handshake work for you in your career (opinion),https://www.insidehighered.com/sites/default/files/styles/max_650x650/public/media/barber%20handshake.jpg?itok=9FJCpvcE
52,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake2.jpeg,handshake,Importance of a Good Handshake,https://media.licdn.com/dms/image/C4D12AQFvR6webwTsKw/article-cover_image-shrink_720_1280/0/1533823206296?e=2147483647&v=beta&t=wZN4Py-PYNTGQa6WCk1HVhivWC8SWcoIYFN1LdI1b9A
53,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake3.png,handshake,"File:Handshake, by David.svg - Wikipedia",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Handshake%2C_by_David.svg/1280px-Handshake%2C_by_David.svg.png
54,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake5.jpeg,handshake,The Loss of the Handshake is an Opportunity for Connection - UT News,https://news.utexas.edu/wp-content/uploads/2019/06/Mixed-Race-Hands.jpg
55,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake6.png,handshake,Handshake - Free business icons,https://cdn-icons-png.flaticon.com/512/10017/10017692.png
56,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake7.jpeg,handshake,Business Handshake Arrow | Great PowerPoint ClipArt for Presentations -  PresenterMedia.com,https://content.presentermedia.com/files/clipart/00019000/19719/business_handshake_arrow_800_wht.jpg
57,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake9.jpeg,handshake,Handshake sketch business concept people Vector Image,https://cdn5.vectorstock.com/i/1000x1000/14/34/handshake-sketch-business-concept-people-vector-27841434.jpg
58,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands0.jpeg,hands,"5 Ways to Make Your Perpetually Dry Hands Softer, Straight From  Dermatologists",https://www.byrdie.com/thmb/aitjY8Vben7qDqucDkPpFVGmgtY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Stocksy_txpb2b5c3f8V4f300_Medium_5025475-730a608bc5c246449a043a335dfb8299.jpg
59,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands1.jpeg,hands,"Hand - Simple English Wikipedia, the free encyclopedia",https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Human-Hands-Front-Back.jpg/640px-Human-Hands-Front-Back.jpg
60,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands2.jpeg,hands,How To Draw Hands - Step by Step Guide | 21 Draw,https://www.21-draw.com/wp-content/uploads/2022/07/how-to-draw-hands.jpg
61,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger0.jpeg,one finger,"318,928 One Finger Stock Photos - Free & Royalty-Free Stock Photos from  Dreamstime",https://thumbs.dreamstime.com/b/one-finger-20482985.jpg
62,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands3.jpeg,hands,How to Get Soft Hands: Effective Tips & Strategies,https://media.post.rvohealth.io/wp-content/uploads/2020/08/soft_black_hands-732x549-thumbnail.jpg
63,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger1.jpeg,one finger,One finger up hand gesture icon image Royalty Free Vector,https://cdn2.vectorstock.com/i/1000x1000/65/46/one-finger-up-hand-gesture-icon-image-vector-19526546.jpg
64,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands4.webp,hands,Why do we have lines on the palms of our hands? - BBC Science Focus Magazine,https://c02.purpledshub.com/uploads/sites/41/2018/07/GettyImages-77937874-9ed4b0b.jpg?w=1029&webp=1
65,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger2.png,one finger,"Hand, gesture, finger, one icon - Download on Iconfinder",https://cdn1.iconfinder.com/data/icons/baseball-line-vol-1/74/hand_gesture__hand__finger__one-512.png
66,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger3.jpeg,one finger,Hand with number 1 / one finger line art icon for apps and websites Stock  Vector | Adobe Stock,https://as1.ftcdn.net/v2/jpg/01/01/47/46/1000_F_101474620_vk4s9G6B2rP4qcBa9wCxGZt2qlnpWp4I.jpg
67,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands5.jpeg,hands,How to Care for Hands: The Ultimate Guide | Blog | Somerset Toiletry Co,https://cdn-bphbj.nitrocdn.com/GmrbgIQbBvZIWNNQeAPejVePVJgOXXSf/assets/images/optimized/rev-13d8d36/thesomersettoiletryco.co.uk/wp-content/uploads/2021/04/womanizer-wow-tech-8oB43mw658c-unsplash.jpg
68,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger4.jpeg,one finger,One finger up hand gesture icon image Royalty Free Vector,https://cdn2.vectorstock.com/i/1000x1000/65/31/one-finger-up-hand-gesture-icon-image-vector-19526531.jpg
69,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger5.jpeg,one finger,"One Finger"" Images – Browse 2,021 Stock Photos, Vectors, and Video | Adobe  Stock",https://t4.ftcdn.net/jpg/04/90/28/67/360_F_490286707_QCB4O1HcPFlaf4wFfHZ6YE5HbUFgQokt.jpg
70,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands6.jpeg,hands,How to Draw HANDS and HAND POSES! - YouTube,https://i.ytimg.com/vi/2CmrMRXoA8Q/maxresdefault.jpg
71,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger6.png,one finger,One-Finger Icons - Free SVG & PNG One-Finger Images - Noun Project,https://static.thenounproject.com/png/73717-200.png
72,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger7.jpeg,one finger,One Finger Images - Free Download on Freepik,https://img.freepik.com/free-photo/attention-gesture_186202-420.jpg
73,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger8.jpeg,one finger,"One Finger Stock Illustrations – 22,208 One Finger Stock Illustrations,  Vectors & Clipart - Dreamstime",https://thumbs.dreamstime.com/z/number-one-hand-finger-pointing-up-isolated-vector-illustration-sharp-number-one-one-way-hand-finger-pointing-up-full-212047197.jpg
74,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger9.jpeg,one finger,"One finger up thin line icon, hand gestures concept, Attention hand gesture  sign on white background, Pointing finger symbol in outline style for Stock  Vector Image & Art - Alamy",https://c8.alamy.com/comp/2E634WX/one-finger-up-thin-line-icon-hand-gestures-concept-attention-hand-gesture-sign-on-white-background-pointing-finger-symbol-in-outline-style-for-2E634WX.jpg
75,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/man showing hand/manshowinghand0.jpeg,man showing hand,Blond man showing his hand palm Stock Photo by ©kues 71093563,https://st2.depositphotos.com/4196725/7109/i/950/depositphotos_71093563-stock-photo-blond-man-showing-his-hand.jpg
76,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/man showing hand/manshowinghand1.jpeg,man showing hand,Man Hand Holding Images - Free Download on Freepik,https://img.freepik.com/free-photo/image-skeptical-brunette-guy-holding-empty-copy-space-hands-showing-hand-box-gesture-as-if-display-product-logo-looking-displeased-unamused-white-background_176420-53019.jpg
77,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands7.jpeg,hands,Hand Gestures and Simplifying the Hand! “Anatomy How to Draw by Leriisa #1”  by Leriisa - Make better art | CLIP STUDIO TIPS,https://celcliptipsprod.s3-ap-northeast-1.amazonaws.com/tips_article_body/cb52/724414/e6efc5244e98a8852b434c2422371cae
78,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands8.jpeg,hands,"Open Hands Sketch Images – Browse 34,073 Stock Photos, Vectors, and Video |  Adobe Stock",https://t4.ftcdn.net/jpg/01/04/39/99/360_F_104399975_i6V4SCb7TJwFqVIaHs4UW0adNwUArAsQ.jpg
79,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/man showing hand/manshowinghand2.jpeg,man showing hand,"Handsome Man Showing Something On The Palm Of His Hand Stock Photo, Picture  and Royalty Free Image. Image 13469096.",https://previews.123rf.com/images/dolgachov/dolgachov1205/dolgachov120500195/13469096-handsome-man-showing-something-on-the-palm-of-his-hand.jpg
80,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/five fingers/fivefingers0.jpeg,five fingers,Five Fingers (2006) - IMDb,https://m.media-amazon.com/images/M/MV5BMTMxMzU4NDY5Ml5BMl5BanBnXkFtZTcwODkzODA3Mg@@._V1_.jpg
81,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/man showing hand/manshowinghand3.jpeg,man showing hand,"Handsome Man Showing Hand To Camera Stock Photo, Picture and Royalty Free  Image. Image 10013451.",https://previews.123rf.com/images/goodluz/goodluz1107/goodluz110701140/10013451-handsome-man-showing-hand-to-camera.jpg
82,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/man showing hand/manshowinghand4.jpeg,man showing hand,man showing something on the palm of his hand Stock Photo - Alamy,https://c8.alamy.com/comp/E63KRP/man-showing-something-on-the-palm-of-his-hand-E63KRP.jpg
83,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of fist/photooffist0.jpeg,photo of fist,"A clenched fist. Against a white background for easy extraction , #AFF,  #white, #fist, #clenched, #extr… | Hand reference, Hand drawing reference,  How to draw hands",https://i.pinimg.com/736x/99/48/11/99481165b3db03fc18e134803ad281bb.jpg
84,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/man showing hand/manshowinghand5.jpeg,man showing hand,"37,523 Man Showing Something Hand Images, Stock Photos, 3D objects, &  Vectors | Shutterstock",https://www.shutterstock.com/image-photo/open-business-man-hand-showing-260nw-398456056.jpg
